Ano,Distrito,Num_IncendiosRurais,AreaArdPov_NoDistrito,AreaArdMato_NoDistrito,AreaArdAgric_NoDistrito,AreaArdTotal_NoDistrito,AreaArdPov_IncendioInicioDist,AreaArdMato_IncendioInicioDist,AreaArdAgric_IncendioInicioDist,AreaArdTotal_IncendioInicioDist,NIncRur_0_1ha,NIncRur_1_10ha,NIncRur_10_20ha,NIncRur_20_50ha,NIncRur_50_100ha,NIncRur_100_500ha,NIncRur_500_1000ha,NIncRur_1000_n_ha,NInc_Natural,NInc_Negligente,NInc_Intencionais,NInc_Reacendimentos,NInc_Desconhecida,NInc_NaoInvestigados,Ninc_Sup24h
2011,BRAGAN큐,1080,,,,,1081,10055,298,11435,586,374,52,29,20,16,0,3,2,466,67,35,72,438,33
2011,CASTELO BRANCO,496,,,,,1346,1810,598,3754,423,57,3,5,3,3,1,1,10,116,118,6,231,15,20
2011,COIMBRA,987,,,,,443,145,23,611,916,61,0,8,2,0,0,0,14,445,245,31,199,53,11
2011,텠ORA,216,,,,,490,0,277,768,168,36,5,3,2,2,0,0,0,87,9,0,91,29,3
2011,FARO,441,,,,,19,100,49,168,378,62,1,0,0,0,0,0,0,76,3,2,129,231,3
2011,GUARDA,862,,,,,1724,9544,1535,12803,477,274,28,35,21,23,3,1,9,565,132,39,103,14,48
2011,LEIRIA,933,,,,,901,1199,45,2145,833,86,3,6,1,3,1,0,3,303,43,68,467,49,17
2011,LISBOA,2213,,,,,190,1146,268,1603,1882,308,14,6,3,0,0,0,0,223,29,10,1692,259,22
2011,PORTALEGRE,308,,,,,89,75,283,447,255,44,3,4,2,0,0,0,4,99,12,1,164,28,1
2011,PORTO,6691,,,,,2113,2657,32,4802,6016,621,24,17,6,7,0,0,1,1093,496,912,617,3572,54
2011,SANTAR텘,873,,,,,240,185,265,691,778,84,4,5,1,1,0,0,1,194,208,14,201,255,29
2011,SET２AL,888,,,,,100,111,81,292,825,59,2,2,0,0,0,0,0,135,26,10,372,345,6
2011,VIANA DO CASTELO,2428,,,,,2303,2474,46,4822,1864,488,35,26,7,8,0,0,3,521,579,538,21,766,30
2011,VILA REAL,2092,,,,,2453,11805,30,14288,1236,738,41,34,19,16,7,1,14,828,349,177,53,671,39
2011,VISEU,2343,,,,,1739,5585,1,7325,1844,423,30,20,15,7,4,0,22,857,713,237,496,18,38
2012,AVEIRO,2325,,,,,2327,363,5,2695,2143,151,18,8,1,3,1,0,0,581,165,640,923,16,1
2012,BEJA,324,,,,,721,74,420,1215,251,64,4,3,0,1,1,0,1,91,26,1,152,53,0
2012,BRAGA,2333,,,,,4315,4615,20,8950,1766,440,56,38,16,16,0,1,3,615,362,309,304,740,4
2012,BRAGAN큐,1104,,,,,2641,12183,300,15123,574,391,53,40,18,22,5,1,4,534,42,3,113,408,5
2012,CASTELO BRANCO,572,,,,,1231,785,139,2156,487,64,7,6,2,6,0,0,5,188,87,6,279,7,1
2012,COIMBRA,1119,,,,,5926,1153,11,7090,1007,84,3,8,5,9,3,0,4,478,297,47,221,72,3
2012,텠ORA,369,,,,,338,3,243,584,320,41,2,4,1,1,0,0,0,98,3,2,263,3,0
2012,FARO,574,,,,,6360,15823,3425,25607,518,50,1,1,2,1,0,1,0,132,20,3,119,300,1
2012,GUARDA,766,,,,,4562,4655,479,9696,375,284,35,42,18,10,0,2,8,490,159,24,84,1,4
2012,LEIRIA,1033,,,,,1734,727,50,2511,904,109,4,6,3,5,2,0,2,326,134,103,467,1,2
2012,LISBOA,1946,,,,,601,1104,186,1891,1639,288,5,9,2,3,0,0,0,212,10,17,1193,514,1
2012,PORTALEGRE,313,,,,,1157,19,111,1287,274,33,0,4,1,0,1,0,0,132,23,2,127,29,0
2012,PORTO,5125,,,,,1879,1785,30,3693,4658,408,25,25,4,5,0,0,0,1046,435,441,327,2876,1
2012,SANTAR텘,1138,,,,,4903,2901,2963,10767,999,123,5,3,2,3,0,3,0,336,313,6,343,140,3
2012,SET２AL,981,,,,,204,154,63,420,930,44,3,3,0,1,0,0,0,166,27,7,313,468,0
2012,VIANA DO CASTELO,1331,,,,,796,1929,17,2743,983,291,28,21,7,1,0,0,1,431,483,146,84,186,1
2012,VILA REAL,1827,,,,,2742,4234,170,7146,1129,612,25,35,13,11,2,0,11,627,451,194,67,477,0
2012,VISEU,2172,,,,,5585,8806,18,14409,1669,416,26,25,13,19,1,3,19,776,587,341,447,2,11
2013,AVEIRO,1615,,,,,3856,760,14,4630,1458,123,11,14,2,6,1,0,4,213,158,312,872,56,8
2013,BEJA,406,,,,,460,116,2247,2824,280,94,12,12,1,7,0,0,2,133,30,1,170,70,0
2013,BRAGA,2299,,,,,4083,7939,58,12080,1631,506,51,56,26,29,0,0,1,439,514,317,405,623,7
2013,BRAGAN큐,505,,,,,5106,17986,1205,24297,300,154,11,15,8,12,3,2,9,211,59,21,104,101,6
2013,CASTELO BRANCO,471,,,,,1616,1503,655,3775,405,44,7,7,5,0,2,1,10,135,154,3,165,4,1
2013,COIMBRA,857,,,,,2037,1147,5,3189,809,35,3,2,2,4,1,1,12,313,308,36,166,22,0
2013,텠ORA,198,,,,,237,49,445,731,134,52,3,6,2,1,0,0,1,83,7,0,107,0,0
2013,FARO,453,,,,,18,510,54,582,419,32,1,0,0,1,0,0,1,231,26,1,194,0,0
2013,GUARDA,576,,,,,3378,8499,1617,13494,338,178,20,16,8,9,3,4,17,310,125,35,89,0,6
2013,LEIRIA,717,,,,,498,1831,49,2378,654,52,0,5,2,3,0,1,0,312,107,25,272,1,1
2013,LISBOA,1726,,,,,132,702,124,959,1512,206,5,1,1,1,0,0,0,58,6,5,886,771,0
2013,PORTALEGRE,256,,,,,694,94,841,1629,206,35,6,1,3,4,1,0,0,112,34,0,90,20,0
2013,PORTO,6231,,,,,5924,8163,99,14186,5500,593,48,44,18,23,4,1,2,1542,467,585,636,2999,15
2013,SANTAR텘,828,,,,,484,151,161,795,748,71,2,4,1,2,0,0,3,293,295,10,226,1,0
2013,SET２AL,897,,,,,240,240,114,594,835,55,4,0,2,1,0,0,0,157,22,15,471,232,2
2013,VIANA DO CASTELO,1882,,,,,3348,8911,4,12262,1377,412,27,33,7,19,6,1,0,632,754,455,37,4,17
2013,VILA REAL,1281,,,,,9449,13760,248,23457,833,376,18,19,8,15,6,6,9,340,290,192,56,394,10
2013,VISEU,1931,,,,,14102,24295,129,38527,1477,330,30,32,18,29,3,12,15,433,630,403,450,0,28
2014,AVEIRO,591,,,,,90,223,9,322,560,25,4,1,0,1,0,0,0,114,108,29,340,0,0
2014,BEJA,310,,,,,569,26,731,1326,211,75,9,9,5,1,0,0,3,161,80,0,61,5,0
2014,BRAGA,656,,,,,390,377,2,769,549,93,7,4,2,1,0,0,0,206,150,80,168,52,0
2014,BRAGAN큐,414,,,,,248,2026,74,2349,282,100,6,16,4,6,0,0,7,287,59,9,46,6,1
2014,CASTELO BRANCO,272,,,,,155,149,83,387,235,29,2,5,1,0,0,0,8,130,79,1,52,2,0
2014,COIMBRA,368,,,,,1168,134,9,1311,342,21,2,1,1,0,0,1,1,174,119,11,61,2,0
2014,텠ORA,179,,,,,406,0,243,649,124,40,9,3,3,0,0,0,0,75,2,2,100,0,0
2014,FARO,345,,,,,199,557,93,848,304,36,1,1,1,2,0,0,1,209,14,6,115,0,0
2014,GUARDA,424,,,,,1315,3972,472,5759,256,123,11,15,12,6,0,1,8,202,96,15,98,5,2
2014,LEIRIA,444,,,,,50,34,19,104,417,26,1,0,0,0,0,0,5,194,46,12,186,1,0
2014,LISBOA,995,,,,,34,243,29,306,924,67,1,3,0,0,0,0,0,19,3,4,844,125,0
2014,PORTALEGRE,208,,,,,1579,910,875,3364,159,41,4,1,1,1,0,1,4,128,25,1,50,0,0
2014,PORTO,1503,,,,,939,420,4,1363,1435,62,2,2,1,0,1,0,0,270,137,43,105,948,2
2014,SANTAR텘,598,,,,,132,117,101,350,548,46,3,0,0,1,0,0,4,235,140,6,212,1,0
2014,SET２AL,568,,,,,163,197,75,435,528,33,0,5,2,0,0,0,1,110,31,6,327,93,0
2014,VIANA DO CASTELO,382,,,,,487,394,2,883,314,58,2,6,0,2,0,0,0,178,165,36,0,3,0
2014,VILA REAL,504,,,,,476,601,145,1222,344,149,5,3,1,2,0,0,3,287,161,15,20,18,0
2014,VISEU,627,,,,,324,748,0,1072,537,76,6,4,1,3,0,0,4,274,200,43,105,1,0
2015,AVEIRO,1222,,,,,2912,586,23,3521,1133,73,4,4,2,5,0,1,3,314,145,91,669,0,5
2015,BEJA,338,,,,,1147,35,752,1934,247,69,9,6,3,3,1,0,11,115,75,1,135,1,1
2015,BRAGA,2049,,,,,2555,4595,25,7174,1434,503,49,31,21,10,1,0,2,298,355,255,590,549,3
2015,BRAGAN큐,686,,,,,938,4326,36,5300,430,177,35,30,4,7,3,0,32,343,129,53,125,4,0
2015,CASTELO BRANCO,544,,,,,1488,1329,296,3113,451,58,11,14,6,2,2,0,15,233,130,0,159,7,1
2015,COIMBRA,614,,,,,1407,302,30,1738,554,48,2,4,1,4,1,0,16,306,139,30,100,23,2
2015,텠ORA,250,,,,,857,129,536,1522,184,47,8,9,0,1,1,0,1,111,2,1,135,0,0
2015,FARO,405,,,,,6,421,51,478,377,23,2,0,2,1,0,0,2,190,33,3,161,16,0
2015,GUARDA,556,,,,,1860,10102,895,12858,346,157,20,15,5,8,2,3,34,285,84,41,111,1,3
2015,LEIRIA,856,,,,,837,191,51,1078,779,70,2,2,1,1,1,0,1,334,100,38,369,14,0
2015,LISBOA,1676,,,,,153,829,89,1071,1437,219,13,6,1,0,0,0,0,36,2,3,944,691,1
2015,PORTALEGRE,316,,,,,149,56,303,508,253,52,5,4,1,1,0,0,3,197,41,3,72,0,0
2015,PORTO,3994,,,,,1239,1288,19,2546,3614,341,16,17,3,3,0,0,0,746,301,506,774,1667,1
2015,SANTAR텘,1059,,,,,1467,800,442,2709,955,87,4,8,2,2,0,1,9,482,345,26,187,10,1
2015,SET２AL,1023,,,,,143,151,129,424,954,60,5,4,0,0,0,0,0,184,42,9,535,253,1
2015,VIANA DO CASTELO,1321,,,,,3801,5287,13,9100,970,292,20,18,9,9,0,3,0,461,622,229,2,7,4
2015,VILA REAL,1316,,,,,1320,4120,141,5581,794,455,26,19,10,12,0,0,11,706,358,56,40,145,3
2015,VISEU,1418,,,,,1264,5283,0,6547,1088,277,22,13,6,8,4,0,16,512,412,190,284,4,3
2016,AVEIRO,898,,,,,33674,8458,86,42218,791,72,12,5,2,8,2,6,0,103,96,110,589,0,10
2016,BEJA,242,,,,,415,2,464,881,175,48,9,6,3,1,0,0,2,87,47,1,105,0,0
2016,BRAGA,1759,,,,,6535,8188,41,14764,1269,381,35,35,11,24,1,3,3,162,298,236,555,505,4
2016,BRAGAN큐,449,,,,,1998,5193,908,8099,295,124,12,3,6,8,0,1,11,187,91,41,119,0,0
2016,CASTELO BRANCO,390,,,,,1863,631,864,3359,347,28,6,3,1,3,1,1,10,114,171,0,94,1,0
2016,COIMBRA,456,,,,,665,1419,13,2096,427,21,0,1,4,2,0,1,12,194,171,28,51,0,1
2016,텠ORA,202,,,,,282,0,230,512,153,38,7,2,0,2,0,0,2,64,1,3,132,0,0
2016,FARO,274,,,,,2767,2966,67,5800,252,15,3,1,0,1,0,2,0,131,31,2,109,1,2
2016,GUARDA,439,,,,,3224,8648,2631,14503,270,98,17,13,11,20,8,2,14,190,106,30,97,2,9
2016,LEIRIA,584,,,,,897,300,24,1221,540,39,1,1,0,2,1,0,4,97,105,12,366,0,2
2016,LISBOA,1080,,,,,77,517,77,671,914,151,12,2,1,0,0,0,0,46,6,2,633,393,0
2016,PORTALEGRE,237,,,,,930,52,631,1613,184,37,5,5,3,2,1,0,2,154,34,0,46,1,0
2016,PORTO,4285,,,,,4357,8703,76,13135,3730,416,48,38,23,26,4,0,0,855,59,370,986,2015,6
2016,SANTAR텘,790,,,,,3492,396,177,4065,699,75,7,5,1,1,1,1,3,354,260,13,148,12,1
2016,SET２AL,804,,,,,226,146,109,480,752,45,3,2,1,1,0,0,0,91,36,10,320,347,0
2016,VIANA DO CASTELO,1109,,,,,10534,20663,126,31323,827,209,16,11,18,19,3,6,2,353,432,307,10,5,17
2016,VILA REAL,972,,,,,3381,8965,90,12436,586,317,16,20,12,16,3,2,5,505,315,57,61,29,8
2016,VISEU,1134,,,,,2176,8448,7,10631,834,205,31,28,15,15,6,0,5,355,310,162,301,1,16
2017,AVEIRO,1661,11888,4306,841,17035,,,,,1548,85,8,6,3,9,0,2,1,205,115,144,1192,4,4
2017,BEJA,356,1026,19,1016,2061,,,,,232,88,11,13,8,4,0,0,5,154,27,2,168,0,0
2017,BRAGA,2019,5180,6325,52,11558,,,,,1448,448,42,45,15,18,0,3,2,363,380,286,617,371,6
2017,BRAGAN큐,854,2430,19881,1998,24308,,,,,508,249,38,18,14,15,4,8,23,469,93,65,196,8,6
2017,CASTELO BRANCO,636,40470,17722,4434,62626,,,,,528,71,4,6,6,6,4,11,11,264,215,0,142,4,15
2017,COIMBRA,741,93964,25750,6277,125990,,,,,668,43,6,2,6,6,2,8,4,251,312,87,68,19,14
2017,텠ORA,285,449,1,1351,1800,,,,,215,51,4,5,4,6,0,0,7,99,2,6,171,0,0
2017,FARO,394,142,114,44,300,,,,,359,31,2,1,0,1,0,0,1,169,33,3,188,0,0
2017,GUARDA,639,31059,32321,10182,73563,,,,,407,133,22,23,12,23,6,13,6,340,115,39,138,1,14
2017,LEIRIA,880,46360,1797,522,48679,,,,,796,64,6,2,2,5,0,5,2,138,141,44,548,7,10
2017,LISBOA,1273,268,1125,96,1490,,,,,1058,187,13,12,0,3,0,0,2,89,6,4,839,333,2
2017,PORTALEGRE,344,6220,4646,2230,13096,,,,,270,59,5,5,1,3,0,1,28,217,44,4,51,0,0
2017,PORTO,4729,2890,5317,44,8251,,,,,4199,434,32,34,16,13,1,0,2,245,78,488,1412,2504,5
2017,SANTAR텘,1033,28385,10198,3371,41954,,,,,880,120,11,8,3,7,2,2,7,415,398,36,131,46,8
2017,SET２AL,719,2632,240,118,2990,,,,,656,53,4,4,0,1,0,1,0,89,7,0,300,323,1
2017,VIANA DO CASTELO,1163,2420,6472,35,8927,,,,,857,234,29,24,7,9,2,1,0,441,481,214,27,0,4
2017,VILA REAL,1423,6655,11603,868,19126,,,,,867,435,40,30,21,24,4,2,8,743,448,96,69,59,13
2017,VISEU,1857,47077,22748,6341,76165,,,,,1440,297,34,31,17,25,7,6,25,588,544,240,404,56,23
2018,AVEIRO,1122,193,212,9,414,,,,,1064,52,3,2,1,0,0,0,0,278,22,79,739,4,1
2018,BEJA,235,824,203,426,1453,,,,,182,42,7,2,1,0,1,0,4,87,55,0,89,0,0
2018,BRAGA,1293,1281,1900,10,3190,,,,,1014,226,19,26,3,5,0,0,0,337,130,139,591,96,3
2018,BRAGAN큐,544,185,1779,69,2032,,,,,368,152,9,9,3,2,1,0,24,286,74,35,120,5,0
2018,CASTELO BRANCO,424,212,345,74,631,,,,,379,36,4,5,0,0,0,0,23,237,112,2,50,0,0
2018,COIMBRA,266,26,22,6,54,,,,,254,12,0,0,0,0,0,0,3,141,74,5,35,8,0
2018,텠ORA,159,4,13,283,300,,,,,129,23,5,0,2,0,0,0,7,51,0,0,101,0,0
2018,FARO,354,15811,10003,1180,26994,,,,,334,14,2,1,1,1,0,1,1,196,29,1,127,0,1
2018,GUARDA,248,447,1077,368,1891,,,,,174,52,8,8,3,2,1,0,18,136,23,14,57,0,1
2018,LEIRIA,351,23,14,20,58,,,,,339,12,0,0,0,0,0,0,0,119,77,7,147,1,0
2018,LISBOA,995,71,515,104,690,,,,,908,85,1,0,0,1,0,0,0,81,8,5,535,366,1
2018,PORTALEGRE,227,492,18,347,857,,,,,192,25,4,1,2,3,0,0,15,144,20,1,43,4,0
2018,PORTO,2427,400,535,12,948,,,,,2290,127,6,2,1,1,0,0,0,235,32,194,667,1299,1
2018,SANTAR텘,640,896,142,98,1136,,,,,590,43,2,2,1,2,0,0,3,370,191,7,68,1,1
2018,SET２AL,400,110,53,106,269,,,,,371,27,1,0,0,1,0,0,1,90,1,0,157,151,0
2018,VIANA DO CASTELO,893,439,1082,5,1526,,,,,724,134,22,7,4,2,0,0,0,440,233,129,53,38,1
2018,VILA REAL,740,279,971,34,1285,,,,,587,136,10,6,0,1,0,0,13,446,162,39,62,18,0
2018,VISEU,955,249,601,0,850,,,,,836,104,7,7,1,0,0,0,23,533,157,66,172,4,0
2019,AVEIRO,817,2734,142,35,2911,,,,,770,34,3,1,3,4,1,1,1,242,78,105,389,2,3
2019,BEJA,385,736,415,1340,2492,,,,,262,89,13,10,7,3,1,0,5,150,110,2,117,1,0
2019,BRAGA,917,1116,993,30,2139,,,,,717,155,18,21,2,4,0,0,3,253,253,91,300,17,0
2019,BRAGAN큐,342,584,1451,105,2140,,,,,217,89,16,10,4,6,0,0,21,145,94,14,63,5,0
2019,CASTELO BRANCO,458,4530,1514,502,6545,,,,,385,57,1,4,3,6,1,1,25,172,155,0,106,0,5
2019,COIMBRA,314,565,63,19,647,,,,,303,9,0,1,0,0,1,0,10,150,114,10,29,1,1
2019,텠ORA,312,628,188,416,1232,,,,,236,54,10,6,4,2,0,0,1,90,2,9,210,0,0
2019,FARO,417,255,217,92,564,,,,,369,43,1,2,0,2,0,0,0,208,64,1,144,0,0
2019,GUARDA,291,631,1222,642,2495,,,,,192,68,7,11,8,4,1,0,20,173,41,8,49,0,0
2019,LEIRIA,480,278,126,29,433,,,,,440,31,2,5,2,0,0,0,2,134,193,29,122,0,0
2019,LISBOA,896,375,390,91,855,,,,,775,108,6,4,1,2,0,0,1,74,16,2,588,215,0
2019,PORTALEGRE,289,428,592,301,1322,,,,,231,43,7,5,2,0,1,0,1,221,21,5,40,1,0
2019,PORTO,1842,1349,1436,65,2851,,,,,1729,84,12,8,5,2,2,0,1,188,2,135,914,602,1
2019,SANTAR텘,703,4604,1516,620,6741,,,,,632,56,5,7,1,1,1,0,2,345,223,12,121,0,2
2019,SET２AL,398,161,84,170,415,,,,,338,54,1,4,1,0,0,0,2,109,4,3,231,49,0
2019,VIANA DO CASTELO,556,657,1346,4,2007,,,,,446,73,14,16,4,2,1,0,1,238,168,113,36,0,1
2019,VILA REAL,639,1116,1803,279,3198,,,,,475,121,20,13,5,3,2,0,18,369,172,18,38,24,2
2019,VISEU,776,684,2414,0,3097,,,,,662,86,8,10,3,6,1,0,32,358,267,38,81,0,5
2020,AVEIRO,653,1512,761,42,2315,,,,,614,27,4,5,2,0,1,0,0,187,96,45,325,0,2
2020,BEJA,247,114,13,2725,2853,,,,,190,48,4,2,1,1,0,1,0,111,65,0,71,0,0
2020,BRAGA,969,1343,2011,73,3427,,,,,769,150,15,23,6,5,1,0,1,218,371,93,286,0,3
2020,BRAGAN큐,263,728,5685,269,6682,,,,,175,64,6,6,4,5,1,2,14,121,43,14,54,17,0
2020,CASTELO BRANCO,305,18470,4764,1130,24364,,,,,256,33,3,3,2,3,2,3,28,85,100,0,91,1,7
2020,COIMBRA,230,191,37,11,239,,,,,213,15,1,0,0,1,0,0,4,102,95,5,24,0,0
2020,텠ORA,167,52,44,161,257,,,,,136,22,4,5,0,0,0,0,2,51,2,0,112,0,0
2020,FARO,209,2053,793,90,2936,,,,,190,16,0,1,0,0,1,1,0,101,35,0,73,0,1
2020,GUARDA,300,483,1249,623,2355,,,,,210,66,8,5,5,5,1,0,17,178,63,10,32,0,10
2020,LEIRIA,353,208,1423,54,1685,,,,,340,9,1,1,0,0,1,1,2,108,177,18,48,0,2
2020,LISBOA,586,64,217,40,320,,,,,517,64,3,1,1,0,0,0,2,44,8,0,485,47,0
2020,PORTALEGRE,189,847,522,159,1528,,,,,150,30,2,4,1,1,1,0,9,140,19,1,20,0,1
2020,PORTO,2469,1152,1136,27,2314,,,,,2283,149,25,6,2,4,0,0,1,106,120,169,1272,801,0
2020,SANTAR텘,586,496,304,100,900,,,,,519,52,5,6,3,1,0,0,10,243,218,17,98,0,0
2020,SET２AL,338,51,49,36,137,,,,,306,30,1,1,0,0,0,0,4,90,7,3,205,29,0
2020,VIANA DO CASTELO,606,826,2626,25,3477,,,,,470,92,16,13,7,8,0,0,0,222,268,91,25,0,7
2020,VILA REAL,572,1738,3424,829,5991,,,,,427,108,9,15,4,7,1,1,10,332,163,30,25,12,4
2020,VISEU,577,1397,3896,96,5389,,,,,493,59,8,6,4,4,1,2,13,299,189,29,47,0,4
2021,AVEIRO,639,128,379,11,518,,,,,592,40,3,2,1,1,0,0,2,295,149,19,174,0,0
2021,BEJA,306,1111,64,547,1722,,,,,221,73,5,3,2,1,1,0,4,145,56,0,101,0,1
2021,BRAGA,740,678,1609,22,2309,,,,,539,146,28,19,6,2,0,0,3,354,197,47,138,1,0
2021,BRAGAN큐,218,111,1171,65,1347,,,,,146,60,2,4,3,3,0,0,7,124,34,5,47,1,0
2021,CASTELO BRANCO,241,122,43,49,215,,,,,207,28,2,4,0,0,0,0,14,98,69,0,57,3,9
2021,COIMBRA,155,7,8,10,25,,,,,149,6,0,0,0,0,0,0,10,71,53,2,19,0,0
2021,텠ORA,213,246,142,531,919,,,,,135,55,8,11,3,1,0,0,3,106,7,3,94,0,2
2021,FARO,299,3207,4893,1177,9277,,,,,277,13,3,0,1,3,0,2,0,178,40,1,80,0,3
2021,GUARDA,217,569,781,190,1540,,,,,155,47,6,6,0,3,0,0,18,135,39,3,20,2,4
2021,LEIRIA,201,22,17,11,49,,,,,187,14,0,0,0,0,0,0,1,112,64,3,21,0,0
2021,LISBOA,722,57,227,20,304,,,,,652,64,5,0,1,0,0,0,0,54,4,1,525,138,0
2021,PORTALEGRE,192,375,101,164,640,,,,,141,40,6,3,0,2,0,0,6,149,11,1,25,0,0
2021,PORTO,1359,383,568,18,969,,,,,1243,99,7,8,2,0,0,0,10,157,48,45,1007,92,0
2021,SANTAR텘,486,178,136,57,371,,,,,435,45,3,2,1,0,0,0,6,274,127,3,76,0,1
2021,SET２AL,492,31,80,139,250,,,,,451,36,3,2,0,0,0,0,1,163,18,4,306,0,0
2021,VIANA DO CASTELO,563,248,1888,3,2139,,,,,411,108,17,18,6,3,0,0,3,330,161,33,33,3,0
2021,VILA REAL,616,540,3508,9,4057,,,,,411,127,24,27,20,7,0,0,12,418,133,27,20,6,1
2021,VISEU,527,144,1556,9,1708,,,,,420,77,14,8,6,2,0,0,16,341,96,8,66,0,0
